link,country,life_exp,year
https://data.worldbank.org/country/belgium,Belgium,82,2024
https://data.worldbank.org/country/bosnia-and-herzegovina,Bosnia and Herzegovina,78,2024
https://data.worldbank.org/country/bulgaria,Bulgaria,76,2024
https://data.worldbank.org/country/croatia,Croatia,79,2024
https://data.worldbank.org/country/cyprus,Cyprus,82,2024
https://data.worldbank.org/country/czechia,Czechia,80,2024
https://data.worldbank.org/country/denmark,Denmark,82,2024
https://data.worldbank.org/country/estonia,Estonia,79,2024
https://data.worldbank.org/country/finland,Finland,82,2024
https://data.worldbank.org/country/france,France,83,2024
https://data.worldbank.org/country/georgia,Georgia,75,2024
https://data.worldbank.org/country/germany,Germany,81,2024
https://data.worldbank.org/country/greece,Greece,82,2024
https://data.worldbank.org/country/hungary,Hungary,77,2024
https://data.worldbank.org/country/iceland,Iceland,83,2024
https://data.worldbank.org/country/ireland,Ireland,83,2024
https://data.worldbank.org/country/israel,Israel,83,2024
https://data.worldbank.org/country/italy,Italy,84,2024
https://data.worldbank.org/country/kazakhstan,Kazakhstan,75,2024
https://data.worldbank.org/country/kyrgyz-republic,Kyrgyzstan,72,2024
https://data.worldbank.org/country/latvia,Latvia,76,2024
https://data.worldbank.org/country/lithuania,Lithuania,77,2024
https://data.worldbank.org/country/luxembourg,Luxembourg,83,2024
https://data.worldbank.org/country/malta,Malta,83,2024
https://data.worldbank.org/country/moldova,Moldova,71,2024
https://data.worldbank.org/country/monaco,Monaco,86,2024
https://data.worldbank.org/country/montenegro,Montenegro,78,2024
https://data.worldbank.org/country/netherlands,Netherlands,82,2024
https://data.worldbank.org/country/north-macedonia,North Macedonia,77,2024
https://data.worldbank.org/country/norway,Norway,83,2024
https://data.worldbank.org/country/poland,Poland,78,2024
https://data.worldbank.org/country/portugal,Portugal,82,2024
https://data.worldbank.org/country/romania,Romania,76,2024
https://data.worldbank.org/country/russian-federation,Russian Federation,73,2024
https://data.worldbank.org/country/san-marino,San Marino,86,2024
https://data.worldbank.org/country/serbia,Serbia,76,2024
https://data.worldbank.org/country/slovak-republic,Slovakia,78,2024
https://data.worldbank.org/country/slovenia,Slovenia,82,2024
https://data.worldbank.org/country/spain,Spain,84,2024
https://data.worldbank.org/country/sweden,Sweden,84,2024
https://data.worldbank.org/country/switzerland,Switzerland,84,2024
https://data.worldbank.org/country/tajikistan,Tajikistan,72,2024
https://data.worldbank.org/country/turkiye,Turkiye,77,2024
https://data.worldbank.org/country/turkmenistan,Turkmenistan,70,2024
https://data.worldbank.org/country/ukraine,Ukraine,75,2024
https://data.worldbank.org/country/uzbekistan,Uzbekistan,73,2024
https://data.worldbank.org/country/bangladesh,Bangladesh,75,2024
https://data.worldbank.org/country/bhutan,Bhutan,73,2024
https://data.worldbank.org/country/india,India,72,2024
https://data.worldbank.org/country/indonesia,Indonesia,71,2024
https://data.worldbank.org/country/korea-dem-peoples-rep,Democratic Korea,74,2024
https://data.worldbank.org/country/maldives,Maldives,81,2024
https://data.worldbank.org/country/myanmar,Myanmar,67,2024
https://data.worldbank.org/country/nepal,Nepal,71,2024
https://data.worldbank.org/country/sri-lanka,Sri Lanka,78,2024
https://data.worldbank.org/country/thailand,Thailand,77,2024
https://data.worldbank.org/country/timor-leste,Timor-Leste,68,2024
https://data.worldbank.org/country/australia,Australia,83,2024
https://data.worldbank.org/country/brunei-darussalam,Brunei Darussalam,76,2024
https://data.worldbank.org/country/cambodia,Cambodia,71,2024
https://data.worldbank.org/country/china,China,78,2024
https://data.worldbank.org/country/fiji,Fiji,67,2024
https://data.worldbank.org/country/japan,Japan,84,2024
https://data.worldbank.org/country/kiribati,Kiribati,67,2024
https://data.worldbank.org/country/korea-rep,Korea,84,2024
https://data.worldbank.org/country/lao-pdr,Lao,69,2024
https://data.worldbank.org/country/malaysia,Malaysia,77,2024
https://data.worldbank.org/country/marshall-islands,Marshall Islands,67,2024
https://data.worldbank.org/country/micronesia-fed-sts,Micronesia,67,2024
https://data.worldbank.org/country/mongolia,Mongolia,72,2024
https://data.worldbank.org/country/nauru,Nauru,62,2024
